City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Ishigaki,24.3448,124.1572,69.55,87,99,17.92,overcast clouds
172,Ponta Delgada,37.7333,-25.6667,57.92,100,75,10.36,broken clouds
173,Kutum,14.2,24.6667,60.67,16,3,7.87,clear sky
174,Upernavik,72.7868,-56.1549,-20.2,65,79,10.94,broken clouds
175,Yokadouma,3.5167,15.05,68.0,40,87,1.45,overcast clouds
176,Jibuti,11.5,42.5,67.1,70,8,18.61,clear sky
177,Port Hedland,-20.3167,118.5667,82.45,78,92,5.75,overcast clouds
178,Jiblah,13.9216,44.1467,55.47,78,17,3.4,few clouds
179,Hobart,-42.8794,147.3294,71.26,66,20,4.61,few clouds
180,Port Lincoln,-34.7333,135.8667,65.55,74,99,11.54,overcast clouds
181,Zheleznodorozhnyy,55.7503,38.0042,27.12,97,97,4.14,overcast clouds
182,Codrington,-38.2667,141.9667,66.33,70,100,5.1,overcast clouds
183,Puerto Leguizamo,-0.1934,-74.7819,75.87,81,96,2.8,overcast clouds
184,Betare Oya,5.6,14.0833,72.91,24,72,3.62,broken clouds
185,Bathsheba,13.2167,-59.5167,79.41,73,20,21.85,few clouds
186,Flinders,-34.5833,150.8552,70.38,91,98,7.27,overcast clouds
187,Thompson,55.7435,-97.8558,17.06,98,100,3.4,overcast clouds
188,Iqaluit,63.7506,-68.5145,-5.31,76,75,20.71,light snow
189,Atar,20.5169,-13.0499,66.43,17,0,10.98,clear sky
190,Isangel,-19.55,169.2667,85.75,68,77,1.81,broken clouds
191,Cervo,43.6702,-7.4101,45.41,69,45,8.86,scattered clouds
192,Laguna,38.421,-121.4238,58.17,39,0,26.46,clear sky
193,Payakumbuh,-0.2202,100.6308,69.33,97,99,1.97,light rain
194,Kuloy,61.0305,42.4925,11.43,98,99,1.36,overcast clouds
195,Aripuana,-9.1667,-60.6333,73.96,96,89,1.45,overcast clouds
196,Tuatapere,-46.1333,167.6833,57.9,53,34,7.14,scattered clouds
197,Margate,51.3813,1.3862,40.69,74,42,4.0,scattered clouds
198,The Valley,18.217,-63.0578,78.66,69,20,14.97,few clouds
199,Cascais,38.6979,-9.4215,51.06,56,7,21.99,clear sky
200,Muroto,33.2833,134.15,47.95,87,100,26.46,light rain
201,Marrakesh,31.6315,-8.0083,53.67,76,0,6.91,clear sky
202,Caborca,30.5838,-111.101,62.1,17,0,8.41,clear sky
203,Khelyulya,61.7333,30.6833,20.71,96,100,2.84,overcast clouds
204,Toora-Khem,52.4675,96.11,-43.38,100,96,1.81,overcast clouds
205,Makakilo City,21.3469,-158.0858,82.72,57,0,12.66,clear sky
206,Gali,42.6265,41.7381,46.49,39,0,7.4,clear sky
